"标识","编码","名称","上级"
"112030100","1120301","线路终端设备（LTE）","海缆系统设备"
"112030600","1120306","网络监控设备（NME）","海缆系统设备"
"112031000","1120310","单元分配柜","海缆系统设备"
"113030200","1130302","中同轴电缆","同轴电缆"
"113040700","1130407","电缆交接箱","电缆配套设备"
"113041100","1130411","电缆防盗报警设备","电缆配套设备"
"113050200","1130502","综合布线设备","综合布线"
"114010100","1140101","硬铜线","线条"
"115010000","11501","电信管道","电信管道及杆路"
"115010700","1150107","电缆暗渠","电信管道"
"115020300","1150203","槽钢杆路","杆路"
"116010103","116010103","支路盘","155Mb/s传输设备"
"116010202","116010202","交叉矩阵","622Mb/s传输设备"
"116010300","1160103","2.5Gb/s传输设备","基于SDH的交叉设备"
"101040700","1010407","回声消除器","其它数字设备"
"102020100","1020201","STM-4终端复用设备（TM）","SDH/MSTP 622Mb/s传输设备"
"102050500","1020505","公务设备","SDH/MSTP 40Gb/s传输设备"
"105010100","1050101","模拟光端机","其它光缆设备"
"107010100","1070101","监控设备","PDH监控设备"
"108010100","1080101","全国基准钟（PRC）","同步网时钟设备"
"111060200","1110602","光纤分配箱","光缆配套设备"
"112030200","1120302","远供设备（PFE）","海缆系统设备"
"113040600","1130406","负阻抗增音机","电缆配套设备"
"114010300","1140103","镀锌铁线","线条"
"104010300","1040103","光中继设备（REG）","WDM设备"
"111050100","1110501","光缆对地绝缘监测系统","光缆对地绝缘监测系统"
"102020400","1020204","公务设备","SDH/MSTP 622Mb/s传输设备"
"103010100","1030101","DXC基本架","DXC设备"
"111060300","1110603","光分路箱","光缆配套设备"
"113010600","1130106","对称综合通信电缆","低频电缆"
"102010201","102010201","基本架","STM-1 分插复用设备（ADM）"
"102020103","102020103","线路盘","STM-4终端复用设备（TM）"
"102030205","102030205","以太接口板","STM-16分插复用设备（ADM）"
"102040304","102040304","ATM接口板","STM-64分插复用设备（ADM）"
"102050402","102050402","线路盘","STM-256中继设备（REG）"
"102010102","102010102","支路盘","STM-1 终端复用设备（TM）"
"102050304","102050304","ATM接口板","STM-256分插复用设备（ADM）"
"116010403","116010403","支路盘","10Gb/s传输设备"
"102020202","102020202","支路盘","STM-4分插复用设备（ADM）"
"104010102","104010102","合波、分波单元","终端设备（TM）"
"202041300","2020413","回波抵消器","卫星通信配套设备"
"203010200","2030102","双边带发报、发话机","短波发信设备"
"204010200","2040102","特高频中心台主机","特高频通信设备"
"202010100","2020101","抛物面天线","天线设备"
"202040500","2020405","数字电视接收机","卫星通信配套设备"
"301000000","301","长途电话网","交换设备"
"301010101","301010101","基本架","数字程控长途电话交换设备"
"301010102","301010102","信令板","数字程控长途电话交换设备"
"301010103","301010103","用户板","数字程控长途电话交换设备"
"301010200","3010102","集装箱长途电话交换设备","长途数字程控交换"
"301010203","301010203","用户板","集装箱长途电话交换设备"
"301010301","301010301","基本架","车载式长途电话交换设备"
"301010306","301010306","控制板","车载式长途电话交换设备"
"301020101","301020101","路由器机框","网管路由器"
"301020200","3010202","网管线路复用设备","长途/本地电话网管系统"
"301020300","3010203","网管局域网交换设备","长途/本地电话网管系统"
"301020800","3010208","网管前端机","长途/本地电话网管系统"
"301020900","3010209","网管终端设备","长途/本地电话网管系统"
"301021500","3010215","长途智能公话管理系统","长途/本地电话网管系统"
"302010101","302010101","基本架","数字程控本地电话交换设备"
"302010201","302010201","基本架","数字程控长市合用电话交换设备"
"302010203","302010203","用户板","数字程控长市合用电话交换设备"
"302010403","302010403","用户板","集装箱市内电话交换设备"
"302010405","302010405","网络板","集装箱市内电话交换设备"
"302010502","302010502","信令板","车载式市内电话交换设备"
"302010603","302010603","用户板","程控市内电话汇接设备"
"302010700","3020107","远端模块","本地数字程控交换"
"302010800","3020108","诊断测试设备","本地数字程控交换"
"302011100","3020111","来话遇忙提示系统","本地数字程控交换"
"302011203","302011203","用户板","本地关口局设备"
"302011206","302011206","控制板","本地关口局设备"
"302020300","3020203","后台存储设备","固网智能化设备"
"302030000","30203","本地电话网集中监控管理系统","本地电话网"
"302030100","3020301","集中监控路由器","本地电话网集中监控管理系统"
"302030700","3020307","集中监控工作站","本地电话网集中监控管理系统"
"302030900","3020309","集中监控终端设备","本地电话网集中监控管理系统"
"302031500","3020315","本地智能公话管理系统","本地电话网集中监控管理系统"
"302040000","30204","测量系统设备","本地电话网"
"302040100","3020401","服务器","测量系统设备"
"302050300","3020503","空分程控全电子长市农合用交换设备","空分程控全电子电话交换"
"302060000","30206","脉幅调制（PAM）电话交换","本地电话网"
"302060100","3020601","脉幅调制市内电话交换设备","脉幅调制（PAM）电话交换"
"303010100","3030101","营业用电话接续台","营业用电话设备"
"303020300","3030203","双接口","节点/接口设备"
"303020400","3030204","防火墙","节点/接口设备"
"303030100","3030301","磁卡电话机","公共电话"
"303030200","3030302","IC卡电话机","公共电话"
"303030300","3030303","投币电话机","公共电话"
"303040101","303040101","路由器机框","路由器"
"303040300","3030403","服务器","电话业务计算机综合管理系统"
"303040800","3030408","打印机/终端","电话业务计算机综合管理系统"
"201050200","2010502","远程监控单元","微波配套设备"
"201050500","2010505","网管终端","微波配套设备"
"201050800","2010508","微波天线","微波配套设备"
"201051000","2010510","微波直放系统","微波配套设备"
"201051200","2010512","微波分支复用","微波配套设备"
"201051300","2010513","波导充气机","微波配套设备"
"201051500","2010515","电视编码器","微波配套设备"
"201051700","2010517","电视视频矩阵切换台","微波配套设备"
"201052100","2010521","数字中间配线架（IDF）","微波配套设备"
"201052200","2010522","公务汇接台","微波配套设备"
"201052300","2010523","外围控制箱","微波配套设备"
"202010300","2020103","跟踪下变频器","天线设备"
"202010400","2020104","跟踪接收机","天线设备"
"202010500","2020105","天线控制单元","天线设备"
"202010900","2020109","收、发信馈线","天线设备"
"202011000","2020110","干燥空气压缩机","天线设备"
"202011200","2020112","天线伺服跟踪系统","天线设备"
"202020200","2020202","上行功率控制器","上行通信设备"
"202020400","2020204","射频合路器","上行通信设备"
"202030100","2020301","低噪声放大器（LNA）","下行通信设备"
"202030300","2020303","线路放大器（下行）","下行通信设备"
"202030400","2020304","射频分路器","下行通信设备"
"202030600","2020306","低噪声射频变换器（LNB）","下行通信设备"
"202040000","20204","卫星通信配套设备","卫星通信系统"
"202040200","2020402","高速数据调制解调器","卫星通信配套设备"
"202040700","2020407","调频电视解调器","卫星通信配套设备"
"202040800","2020408","调制解调机架","卫星通信配套设备"
"202041200","2020412","通信设备监控系统","卫星通信配套设备"
"202050200","2020502","室内单元","甚小口径卫星通信系统（VSAT）"
"202050500","2020505","关口站室内单元","甚小口径卫星通信系统（VSAT）"
"202050700","2020507","网管终端","甚小口径卫星通信系统（VSAT）"
"203010000","20301","短波发信设备","短波通信系统"
"203010400","2030104","调频发话机","短波发信设备"
"203030200","2030302","音频整流放大器","短波电台配套设备"
"203030400","2030304","单边带激励器","短波电台配套设备"
"203040000","20304","短波冷却设备","短波通信系统"
"203060200","2030602","菱型天线及馈线","天线及配套设备"
"203060300","2030603","鱼骨型天线及馈线","天线及配套设备"
"203060900","2030609","户内交换开关及馈线","天线及配套设备"
"203061000","2030610","偶极式天线及馈线","天线及配套设备"
"204010400","2040104","特高频用户台","特高频通信设备"
"204010600","2040106","特高频配套装置","特高频通信设备"
"203020200","2030202","单边带收信机","短波接收设备"
"203030100","2030301","压缩放大器","短波电台配套设备"
"203040100","2030401","公用冷却设备","短波冷却设备"
"203060000","20306","天线及配套设备","短波通信系统"
"203060800","2030608","户外交换配线区","天线及配套设备"
"204000000","204","特高频通信系统","无线传输设备"
"204010300","2040103","特高频中心台控制台","特高频通信设备"
"201010200","2010102","微波收发信系统","模拟微波收发信系统"
"201020400","2010204","电视调制解调机","模拟微波调制解调设备"
"201050300","2010503","集中监控台","微波配套设备"
"201050900","2010509","微波馈线","微波配套设备"
"201051400","2010514","电视编解码器","微波配套设备"
"202010200","2020102","收、发信馈源","天线设备"
"202010800","2020108","伺服机柜","天线设备"
"202020600","2020206","上变频器","上行通信设备"
"202030500","2020305","下变频器","下行通信设备"
"202040900","2020409","基带配线架","卫星通信配套设备"
"202050100","2020501","室外单元","甚小口径卫星通信系统（VSAT）"
"203020100","2030201","双边带收报、收话机","短波接收设备"
"203060500","2030605","对数周期天线及馈线","天线及配套设备"
"201000000","201","微波通信系统","无线传输设备"
"202020000","20202","上行通信设备","卫星通信系统"
"202050000","20205","甚小口径卫星通信系统（VSAT）","卫星通信系统"
"201020100","2010201","电话调制解调机","模拟微波调制解调设备"
"201020700","2010207","电视伴音调制解调机","模拟微波调制解调设备"
"201050400","2010504","网管主机（工作站）","微波配套设备"
"201050700","2010507","操作维护管理单元（OAM&P）","微波配套设备"
"201051600","2010516","电视解码器","微波配套设备"
"202010600","2020106","天线角度指示盘","天线设备"
"202011100","2020111","天线溶雪装置","天线设备"
"202030200","2020302","低噪声放大器倒换网络","下行通信设备"
"202040100","2020401","中速数据调制解调器","卫星通信配套设备"
"202041000","2020410","视频分支放大器","卫星通信配套设备"
"203010100","2030101","单边带发话信机","短波发信设备"
"203020400","2030204","全波段收信机","短波接收设备"
"203060100","2030601","笼型天线及馈线","天线及配套设备"
"203061200","2030612","其他天线及馈线","天线及配套设备"
"201040000","20104","SDH数字微波通信系统","微波通信系统"
"203050000","20305","短波电台其它设备","短波通信系统"
"201051100","2010511","无源中继站","微波配套设备"
"201051800","2010518","电视伴音矩阵切换台","微波配套设备"
"202010700","2020107","天线人工控制盘","天线设备"
"202020500","2020205","线路放大器（上行）","上行通信设备"
"506010201","506010201","局域网交换机机框","局域网交换机"
"506010301","506010301","协议转换器机框","光纤通道交换机"
"506010400","5060104","线路复用设备","组网设备"
"506010602","506010602","协议转换器板卡","协议转换器"
"506010701","506010701","防火墙机框","防火墙"
"506011000","5060110","光转换器","组网设备"
"506011200","5060112","网管存储设备","组网设备"
"506011300","5060113","网管维护终端","组网设备"
"506020000","50602","计算机主设备","其他业务支撑系统设备BSS"
"506020400","5060204","终端设备","计算机主设备"
"506020500","5060205","接入服务器","计算机主设备"
"506030300","5060303","光盘库","存储设备"
"506030500","5060305","外存储设备","存储设备"
"506050000","50605","其他BSS设备","其他业务支撑系统设备BSS"
"506050300","5060503","显号设备","其他BSS设备"
"506050400","5060504","排队机","其他BSS设备"
"507010100","5070101","路由器","组网设备"
"507010200","5070102","局域网交换机","组网设备"
"101010500","1010105","五次群光终端机","PDH传输系统"
"101030100","1010301","脉码调制终端机（PCM）","PCM设备"
"101040500","1010405","数字通信公务设备","其它数字设备"
"102030200","1020302","STM-16分插复用设备（ADM）","SDH/MSTP 2.5Gb/s传输设备"
"102050200","1020502","4×10Gb/s复用器","SDH/MSTP 40Gb/s传输设备"
"105010500","1050105","其它光线路设备","其它光缆设备"
"106010300","1060103","数字分配架（DDF）","其他附属设备"
"106011300","1060113","数字电路倍增设备（DCME）","其他附属设备"
"107020300","1070203","子网管理系统（SMS）","SDH/MSTP/ASON网络管理系统"
"107050200","1070502","维护终端设备","传输集中网管设备"
"108020300","1080203","本地远程维护终端","同步网监控管理系统"
"111010100","1110101","单模通信光缆","单模通信光缆"
"112010700","1120107","岩石铠装（ROCK）","海底光缆"
"112030500","1120305","海缆系统监控设备（SSE）","海缆系统设备"
"113010500","1130105","全塑市内通信电缆","低频电缆"
"113040400","1130404","电缆防腐设备","电缆配套设备"
"113041000","1130410","电缆分线盒","电缆配套设备"
"114020100","1140201","橡皮绝缘线","绝缘线"
"115010600","1150106","其它材质管道","电信管道"
"102010203","102010203","线路盘","STM-1 分插复用设备（ADM）"
"102010302","102010302","线路盘","STM-1中继设备（REG）"
"102020105","102020105","以太接口板","STM-4终端复用设备（TM）"
"102030104","102030104","ATM接口板","STM-16终端复用设备（TM）"
"102040101","102040101","基本架","STM-64终端复用设备（TM）"
"102040302","102040302","支路盘","STM-64分插复用设备（ADM）"
"102040402","102040402","线路盘","STM-64中继设备（REG）"
"102050105","102050105","以太接口板","STM-256终端复用设备（TM）"
"103010102","103010102","交叉矩阵","DXC基本架"
"104010103","104010103","波长转换器","终端设备（TM）"
"116010201","116010201","基本架","622Mb/s传输设备"
"116010302","116010302","交叉矩阵","2.5Gb/s传输设备"
"104010203","104010203","波长转换器","光分插复用设备（OADM）"
"102000000","102","光纤同步数字体系（SDH/MSTP）传输网","有线传输设备"
"109000000","109","时间同步网","有线传输设备"
"116000000","116","自动交换光网络(ASON)系统","有线传输设备"
"109010000","10901","时间同步服务器","时间同步网"
"112020000","11202","分支单元（BU）","海缆"
"117010000","11701","基于OTN的传输设备","光传送网络(OTN)"
"104010000","10401","WDM设备","波分复用（WDM）系统"
"101010300","1010103","三次群光终端机","PDH传输系统"
"101020300","1010203","34/140数字复用设备","PDH复用设备"
"101040400","1010404","自动调制脉冲编码架","其它数字设备"
"102010200","1020102","STM-1 分插复用设备（ADM）","SDH/MSTP 155Mb/s传输设备"
"102040300","1020403","STM-64分插复用设备（ADM）","SDH/MSTP 10Gb/s传输设备"
"102050600","1020506","光电设备子架","SDH/MSTP 40Gb/s传输设备"
"104010200","1040102","光分插复用设备（OADM）","WDM设备"
"105010900","1050109","光缆充油设备","其它光缆设备"
"106010500","1060105","其他设备机架","其他附属设备"
"106011500","1060115","线路终端（LT）","其他附属设备"
"107020200","1070202","网络管理系统（NMS）","SDH/MSTP/ASON网络管理系统"
"107040300","1070403","远程维护终端设备","波分复用网管系统"
"111030200","1110302","监测中心设备","光缆自动监测系统"
"112010200","1120102","无铠轻屏蔽（LWS）","海底光缆"
"112030400","1120304","交叉连接设备（DXC）","海缆系统设备"
"113010100","1130101","铅包电缆","低频电缆"
"113010800","1130108","星绞低频电缆","低频电缆"
"113041200","1130412","交接箱监控系统","电缆配套设备"
"115010200","1150102","塑料管道","电信管道"
"102030100","1020301","STM-16终端复用设备（TM）","SDH/MSTP 2.5Gb/s传输设备"
"102050300","1020503","STM-256分插复用设备（ADM）","SDH/MSTP 40Gb/s传输设备"
"107050100","1070501","传输集中网管系统","传输集中网管设备"
"109010200","1090102","一级时间服务器","时间同步服务器"
"113010200","1130102","铝包电缆","低频电缆"
"113040300","1130403","电缆维护采集传感器","电缆配套设备"
"102010104","102010104","ATM接口板","STM-1 终端复用设备（TM）"
"102020102","102020102","支路盘","STM-4终端复用设备（TM）"
"102030203","102030203","线路盘","STM-16分插复用设备（ADM）"
"102040105","102040105","以太接口板","STM-64终端复用设备（TM）"
"102050401","102050401","基本架","STM-256中继设备（REG）"
"116010104","116010104","线路盘","155Mb/s传输设备"
"116010402","116010402","交叉矩阵","10Gb/s传输设备"
"104010302","104010302","合波、分波单元","光中继设备（REG）"
"108000000","108","时钟同步网","有线传输设备"
"115000000","115","电信管道及杆路","有线传输设备"
"109020000","10902","时间同步监控设备","时间同步网"
"114020000","11402","绝缘线","架空明线"
"111020000","11102","多模通信光缆","光缆"
"102060000","10206","MSAP局端设备","光纤同步数字体系（SDH/MSTP）传输网"
"115020000","11502","杆路","电信管道及杆路"
"101020500","1010205","8/34/140数字复接设备","PDH复用设备"
"116010304","116010304","线路盘","2.5Gb/s传输设备"
"116010401","116010401","基本架","10Gb/s传输设备"
"116010404","116010404","线路盘","10Gb/s传输设备"
"117010100","1170101","OTN设备","基于OTN的传输设备"
"117010101","117010101","基本架","OTN设备"
"117010103","117010103","支路盘","OTN设备"
"102010105","102010105","以太接口板","STM-1 终端复用设备（TM）"
"102020000","10202","SDH/MSTP 622Mb/s传输设备","光纤同步数字体系（SDH/MSTP）传输网"
"102030106","102030106","交叉板","STM-16终端复用设备（TM）"
"102030202","102030202","支路盘","STM-16分插复用设备（ADM）"
"102030500","1020305","光电设备子架","SDH/MSTP 2.5Gb/s传输设备"
"102040102","102040102","支路盘","STM-64终端复用设备（TM）"
"102040303","102040303","线路盘","STM-64分插复用设备（ADM）"
"102040400","1020404","STM-64中继设备（REG）","SDH/MSTP 10Gb/s传输设备"
"102050000","10205","SDH/MSTP 40Gb/s传输设备","光纤同步数字体系（SDH/MSTP）传输网"
"102050104","102050104","ATM接口板","STM-256终端复用设备（TM）"
"102050400","1020504","STM-256中继设备（REG）","SDH/MSTP 40Gb/s传输设备"
"103010200","1030102","DXC扩展架","DXC设备"
"105010000","10501","其它光缆设备","其它光缆设备"
"105010400","1050104","光缆设备机架","其它光缆设备"
"105010800","1050108","分光器","其它光缆设备"
"106010000","10601","其他附属设备","传输系统设备的附属设备"
"107020100","1070201","SDH/MSTP/ASON网元管理系统（EM）","SDH/MSTP/ASON网络管理系统"
"101010000","10101","PDH传输系统","光纤准同步数字体系(PDH)传输网"
"101010200","1010102","二次群光终端机","PDH传输系统"
"101020100","1010201","2/8数字复用设备","PDH复用设备"
"101020200","1010202","8/34数字复用设备","PDH复用设备"
"101020400","1010204","2/34数字复用设备","PDH复用设备"
"101030000","10103","PCM设备","光纤准同步数字体系(PDH)传输网"
"101030200","1010302","PCM条架","PCM设备"
"101030300","1010303","PCM电源架","PCM设备"
"101040000","10104","其它数字设备","光纤准同步数字体系(PDH)传输网"
"101040200","1010402","脉码调制再生中继机","其它数字设备"
"101040300","1010403","数字纠错架","其它数字设备"
"101040600","1010406","编码转换设备","其它数字设备"
"101040800","1010408","回声抑制器","其它数字设备"
"101040900","1010409","数字中继器","其它数字设备"
"101041000","1010410","增量调制终端机","其它数字设备"
"102010101","102010101","基本架","STM-1 终端复用设备（TM）"
"102010103","102010103","线路盘","STM-1 终端复用设备（TM）"
"102010204","102010204","ATM接口板","STM-1 分插复用设备（ADM）"
"102010301","102010301","基本架","STM-1中继设备（REG）"
"102010400","1020104","光电设备子架","SDH/MSTP 155Mb/s传输设备"
"102020101","102020101","基本架","STM-4终端复用设备（TM）"
"102020201","102020201","基本架","STM-4分插复用设备（ADM）"
"102020203","102020203","线路盘","STM-4分插复用设备（ADM）"
"102020204","102020204","ATM接口板","STM-4分插复用设备（ADM）"
"102020300","1020203","STM-4中继设备（REG）","SDH/MSTP 622Mb/s传输设备"
"102020301","102020301","基本架","STM-4中继设备（REG）"
"102020500","1020205","光电设备子架","SDH/MSTP 622Mb/s传输设备"
"102030103","102030103","线路盘","STM-16终端复用设备（TM）"
"102030105","102030105","以太接口板","STM-16终端复用设备（TM）"
"102030201","102030201","基本架","STM-16分插复用设备（ADM）"
"102030301","102030301","基本架","STM-16中继设备（REG）"
"102030302","102030302","线路盘","STM-16中继设备（REG）"
"102030400","1020304","公务设备","SDH/MSTP 2.5Gb/s传输设备"
"102040000","10204","SDH/MSTP 10Gb/s传输设备","光纤同步数字体系（SDH/MSTP）传输网"
"102040103","102040103","线路盘","STM-64终端复用设备（TM）"
"102040104","102040104","ATM接口板","STM-64终端复用设备（TM）"
"102040301","102040301","基本架","STM-64分插复用设备（ADM）"
"102040305","102040305","以太接口板","STM-64分插复用设备（ADM）"
"102040401","102040401","基本架","STM-64中继设备（REG）"
"102040600","1020406","光电设备子架","SDH/MSTP 10Gb/s传输设备"
"102050100","1020501","STM-256终端复用设备（TM）","SDH/MSTP 40Gb/s传输设备"
"102050103","102050103","线路盘","STM-256终端复用设备（TM）"
"102050303","102050303","线路盘","STM-256分插复用设备（ADM）"
"102050305","102050305","以太接口板","STM-256分插复用设备（ADM）"
"103010000","10301","DXC设备","数字交叉连接设备（DXC)"
"103010101","103010101","基本架","DXC基本架"
"103010202","103010202","端口盘","DXC扩展架"
"104000000","104","波分复用（WDM）系统","有线传输设备"
"104010101","104010101","基本架","终端设备（TM）"
"104010301","104010301","基本架","光中继设备（REG）"
"104010400","1040104","公务联络系统（EOW）","WDM设备"
"104010500","1040105","波分复用光放大设备（OA）","WDM设备"
"105010200","1050102","数字光端机","其它光缆设备"
"106000000","106","传输系统设备的附属设备","有线传输设备"
"106010100","1060101","光纤总配线架（MODF）","其他附属设备"
"106010600","1060106","数字四线塞孔架","其他附属设备"
"106010900","1060109","列柜","其他附属设备"
"106011200","1060112","自适应插分脉冲编码调制设备（ADPCM）","其他附属设备"
"106011600","1060116","2M自动切换器","其他附属设备"
"106011700","1060117","有源光网络（AON）","其他附属设备"
"107000000","107","传输监控、网管设备","有线传输设备"
"107020000","10702","SDH/MSTP/ASON网络管理系统","传输监控、网管设备"
"107020500","1070205","本地维护终端设备（LCT）","SDH/MSTP/ASON网络管理系统"
"107030200","1070302","DXC本地维护终端（LCT）","DXC网管系统"
"107040200","1070402","本地维护终端设备（LCT）","波分复用网管系统"
"108010300","1080103","大楼定时分配系统（BITS或SSU）","同步网时钟设备"
"108020000","10802","同步网监控管理系统","时钟同步网"
"109010100","1090101","全国基准服务器","时间同步服务器"
"109020200","1090202","区域网管","时间同步监控设备"
"110010000","11001","明线载波设备","模拟载波传输系统"
"110030000","11003","同轴电缆载波设备","模拟载波传输系统"
"111000000","111","光缆","有线传输设备"
"111030100","1110301","监测站设备","光缆自动监测系统"
"111040000","11104","光缆巡检系统","光缆"
"111060000","11106","光缆配套设备","光缆"
"111060100","1110601","光缆交接箱","光缆配套设备"
"112010000","11201","海底光缆","海缆"
"112010400","1120104","单铠中缆（SAM）","海底光缆"
"112010600","1120106","双铠（DA）","海底光缆"
"112010800","1120108","陆地光缆","海底光缆"
"112030700","1120307","线路监控设备（LME）","海缆系统设备"
"112030800","1120308","国内配套设备","海缆系统设备"
"113010300","1130103","塑包电缆","低频电缆"
"113010700","1130107","水底电缆","低频电缆"
"113020200","1130202","高频对称电缆","对称电缆"
"113030100","1130301","小同轴电缆","同轴电缆"
"113040000","11304","电缆配套设备","电缆"
"113040500","1130405","加感线圈","电缆配套设备"
